Riding Name, Riding ID, Mp Name, MP ID, Party
Eglinton—Lawrence,738,Mendicino, Marco,88738,Liberal
Egmont,614,Morrissey, Robert,88308,Liberal
Elgin—Middlesex—London,739,Vecchio, Karen,88742,Conservative
Elmwood—Transcona,840,Blaikie, Daniel,89032,NDP
Esquimalt—Saanich—Sooke,923,Garrison, Randall,71995,NDP
Essex,740,Ramsey, Tracey,88745,NDP
Etobicoke Centre,741,Wrzesnewskyj, Borys,25468,Liberal
Etobicoke North,743,Duncan, Kirsty  (Hon.),58877,Liberal
Etobicoke—Lakeshore,742,Maloney, James,88748,Liberal
Flamborough—Glanbrook,744,Sweet, David,31715,Conservative
Fleetwood—Port Kells,909,Hardie, Ken,89274,Liberal
Foothills,885,Barlow, John,86261,Conservative
Fort McMurray—Cold Lake,886,Yurdiga, David,86260,Conservative
Fredericton,629,DeCourcey, Matt,88355,Liberal
Fundy Royal,630,Lockhart, Alaina,88357,Liberal
Gaspésie—Les Îles-de-la-Madeleine,662,Lebouthillier, Diane  (Hon.),88460,Liberal
Gatineau,663,MacKinnon, Steven,88468,Liberal
Glengarry—Prescott—Russell,745,Drouin, Francis,88756,Liberal
Grande Prairie—Mackenzie,887,Warkentin, Chris,35886,Conservative
Guelph,746,Longfield, Lloyd,88761,Liberal
Haldimand—Norfolk,747,Finley, Diane  (Hon.),25501,Conservative
Haliburton—Kawartha Lakes—Brock,748,Schmale, Jamie,88770,Conservative
Halifax,620,Fillmore, Andy,88325,Liberal
Halifax West,621,Regan, Geoff  (Hon.),1760,Liberal
Hamilton Centre,749,Christopherson, David,25489,NDP
Hamilton East—Stoney Creek,750,Bratina, Bob,88775,Liberal
Hamilton Mountain,751,Duvall, Scott,88780,NDP
Hamilton West—Ancaster—Dundas,752,Tassi, Filomena,88784,Liberal
Hastings—Lennox and Addington,753,Bossio, Mike,88786,Liberal
Hochelaga,664,Boutin-Sweet, Marjolaine,71395,NDP
Honoré-Mercier,665,Rodriguez, Pablo,25451,Liberal
Hull—Aylmer,666,Fergus, Greg,88478,Liberal
Humber River—Black Creek,835,Sgro, Judy A.  (Hon.),1787,Liberal
Huron—Bruce,754,Lobb, Ben,35600,Conservative
Joliette,667,Ste-Marie, Gabriel,88485,Bloc Québécois
Jonquière,668,Trudel, Karine,88488,NDP
Kamloops—Thompson—Cariboo,910,McLeod, Cathy,59265,Conservative
Kanata—Carleton,755,McCrimmon, Karen,71602,Liberal
Kelowna—Lake Country,911,Fuhr, Stephen,89279,Liberal
Kenora,756,Nault, Robert  (Hon.),709,Liberal
Kildonan—St. Paul,841,Mihychuk, MaryAnn  (Hon.),89037,Liberal
Kings—Hants,622,Brison, Scott  (Hon.),74,Liberal
Kingston and the Islands,758,Gerretsen, Mark,88802,Liberal
King—Vaughan,757,Schulte, Deborah,88799,Liberal
Kitchener Centre,759,Saini, Raj,88807,Liberal
Kitchener South—Hespeler,761,Tabbara, Marwan,88813,Liberal
Kitchener—Conestoga,760,Albrecht, Harold,35607,Conservative
Kootenay—Columbia,912,Stetski, Wayne,89281,NDP
La Pointe-de-l'Île,669,Beaulieu, Mario,376,Bloc Québécois
La Prairie,670,Poissant, Jean-Claude,88493,Liberal
Labrador,608,Jones, Yvonne,13218,Liberal
Lac-Saint-Jean,671,Lebel, Denis  (Hon.),38633,Conservative
Lac-Saint-Louis,672,Scarpaleggia, Francis,25453,Liberal
Lakeland,888,Stubbs, Shannon,89198,Conservative
Lambton—Kent—Middlesex,762,Shipley, Bev,31664,Conservative
Lanark—Frontenac—Kingston,763,Reid, Scott,1827,Conservative
Langley—Aldergrove,913,Warawa, Mark,25467,Conservative
LaSalle—Émard—Verdun,673,Lametti, David,88501,Liberal
Laurentides—Labelle,674,Graham, David de Burgh,88504,Liberal
Laurier—Sainte-Marie,675,Laverdière, Hélène,71434,NDP
Laval—Les Îles,676,El-Khoury, Fayçal,88515,Liberal
Leeds—Grenville—Thousand Islands and Rideau Lakes,764,Brown, Gordon,25483,Conservative
Lethbridge,889,Harder, Rachael,89200,Conservative
Lévis—Lotbinière,678,Gourde, Jacques,35397,Conservative
London North Centre,766,Fragiskatos, Peter,88827,Liberal
London West,767,Young, Kate,88832,Liberal
London—Fanshawe,765,Mathyssen, Irene,764,NDP
Long Range Mountains,609,Hutchings, Gudie,88292,Liberal
Longueuil—Charles-LeMoyne,677,Romanado, Sherry,88521,Liberal
Longueuil—Saint-Hubert,679,Nantel, Pierre,71447,NDP
Louis-Hébert,680,Lightbound, Joël,88532,Liberal
Louis-Saint-Laurent,681,Deltell, Gérard,88535,Conservative
Madawaska—Restigouche,631,Arseneault, René,89383,Liberal
Malpeque,615,Easter, Wayne  (Hon.),43,Liberal
Manicouagan,682,Gill, Marilène,88538,Bloc Québécois
Marc-Aurèle-Fortin,701,Robillard, Yves,88617,Liberal
Markham—Stouffville,768,Philpott, Jane  (Hon.),88835,Liberal
Markham—Thornhill,769,McCallum, John  (Hon.),1817,Liberal
Markham—Unionville,770,Saroya, Bob,58878,Conservative
Medicine Hat—Cardston—Warner,890,Vacant,N/A,N/A
Mégantic—L'Érable,683,Berthold, Luc,88541,Conservative
Milton,771,Raitt, Lisa  (Hon.),54325,Conservative
Mirabel,684,Marcil, Simon,88544,Bloc Québécois
Miramichi—Grand Lake,632,Finnigan, Pat,88360,Liberal
Mission—Matsqui—Fraser Canyon,914,Sidhu, Jati,89288,Liberal
